Month,Transect,Shoot,Subshoot,Total leaves,Leaf,Prev,OldArea.mm2,NewArea.mm2,Notes,mm2.l.d
June,A,26,Main,4,1,0,835.836,494.687,,82.44783333
June,A,27,Baby,1,1,0,0,149.964,,24.994
June,A,27,Main,6,6,1,1224.504,0,,0
June,A,27,Main,6,5,0,1624.859,0,,0
June,A,27,Main,6,4,0,2049.587,38.482,,6.413666667
June,A,27,Main,6,3,0,1751.246,363.62,,60.60333333
June,A,27,Main,6,2,0,1049.429,472.537,,78.75616667
June,A,27,Main,6,1,0,0,289.365,,48.2275
June,A,28,Baby,3,3,0,0,313.493,Not sure if the baby is old or new,52.24883333
June,A,28,Baby,3,2,0,0,84.593,Not sure if the baby is old or new,14.09883333
June,A,28,Baby,3,1,0,0,13.529,Not sure if the baby is old or new,2.254833333
June,A,28,Main,5,5,1,1771.853,0,,0
June,A,28,Main,5,4,1,1332.807,0,,0
June,A,28,Main,5,3,0,1366.608,140.208,,23.368
June,A,28,Main,5,2,1,1748.129,165.944,,27.65733333
June,A,28,Main,5,1,0,104.067,259.843,,43.30716667
June,A,29,Main,5,5,1,2300.625,0,,0
June,A,29,Main,5,4,1,3076.409,0,,0
June,A,29,Main,5,3,0,2308.315,289.848,,48.308
June,A,29,Main,5,2,0,954.544,333.888,,55.648
June,A,29,Main,5,1,0,0,37.489,,6.248166667
June,A,30,Main,3,3,1,677.167,0,No growth - damaged ,0
June,A,30,Main,3,2,1,1131.178,0,No growth - damaged ,0
June,A,30,Main,3,1,0,790.141,0,No growth - damaged ,0
June,B,1,Baby,1,1,0,0,199.923,Not sure if the baby is old or new,33.3205
June,B,1,Main,3,3,0,2547.759,0,White patches,0
June,B,1,Main,3,2,0,1966.588,498.391,White patches,83.06516667
June,B,1,Main,3,1,0,1063.286,605.06,White patches,100.8433333
June,B,2,Main,4,4,0,2279.142,10.527,,1.7545
June,B,2,Main,4,3,0,2581.992,218.394,,36.399
June,B,2,Main,4,2,0,1702.268,578.88,,96.48
June,B,2,Main,4,1,0,468.685,582.858,Damage but not lesions,97.143
June,B,3,Main,5,5,1,1581.491,0,"Damaged, no growth",0
June,B,3,Main,5,4,1,2183.794,0,"Damaged, no growth",0
June,B,3,Main,5,3,1,2304.873,0,"Damaged, no growth",0
June,B,3,Main,5,2,0,2011.464,0,"Damaged, no growth",0
June,B,3,Main,5,1,0,787.074,0,"Damaged, no growth",0
June,B,5,Baby,2,2,0,0,407.625,,67.9375
June,B,5,Baby,2,1,0,0,88.865,,14.81083333
June,B,5,Main,6,6,1,3112.556,0,,0
June,B,5,Main,6,5,1,2960.293,26.144,,4.357333333
June,B,5,Main,6,4,1,3090.865,115.249,,19.20816667
June,B,5,Main,6,3,0,2099.927,540.215,,90.03583333
June,B,5,Main,6,2,0,1085.424,587.714,,97.95233333
June,B,5,Main,6,1,0,0,382.492,,63.74866667
June,B,6,Main,3,3,1,1794.881,0,,0
June,B,6,Main,3,2,0,1430.53,273.167,,45.52783333
June,B,6,Main,3,1,0,625.725,291.983,,48.66383333
June,B,7,Main,3,3,0,1944.896,65.771,,10.96183333
June,B,7,Main,3,2,0,1431.653,,,
June,B,7,Main,3,1,0,617.705,286.635,White patches,
June,B,8,Main,5,5,1,4089.152,22.476,,
June,B,8,Main,5,4,1,4731.331,48.743,,
June,B,8,Main,5,3,0,3333.906,507.475,,
June,B,8,Main,5,2,0,1538.175,795.366,,
June,B,8,Main,5,1,0,52.731,661.475,,
June,B,9,Main,3,3,1,1834.184,44.935,,
June,B,9,Main,3,2,0,1160.992,273.205,,
June,B,9,Main,3,1,0,211.683,226.417,,
June,B,10,Main,4,4,1,2524.215,24.609,,
June,B,10,Main,4,3,1,2462.975,241.15,,
June,B,10,Main,4,2,0,1584.993,543.719,,
June,B,10,Main,4,1,0,123.661,394.696,,
June,B,11,Main,3,3,1,2238.557,37.223,,
June,B,11,Main,3,2,0,1724.898,391.98,,
June,B,11,Main,3,1,0,589.367,390.949,,
June,B,12,,,,,,,"This shoot is not separated properly into new and old, not clear how many blades, don't use",
June,B,13,Baby,1,1,1,468.317,284.758,,
June,B,13,Main,5,5,1,3107.981,0,,
June,B,13,Main,5,4,1,3673.576,62.572,,
June,B,13,Main,5,3,0,3219.865,1012.703,,
June,B,13,Main,5,2,0,1937.945,1340.795,,
June,B,13,Main,5,1,0,0,1027.559,,
June,B,14,Main,3,3,1,2863.229,0,,
June,B,14,Main,3,2,1,2318.322,119.262,,
June,B,14,Main,3,1,0,1350.544,291.026,,
June,B,15,Main,4,4,0,1196.89,0,Big white patches,
June,B,15,Main,4,3,0,1481.316,0,Big white patches,
June,B,15,Main,4,2,0,1018.396,181.844,,
June,B,15,Main,4,1,0,31.661,179.194,,
June,B,16,Main,4,4,1,3477.077,0,,
June,B,16,Main,4,3,0,2657.432,892.446,,
June,B,16,Main,4,2,0,1070.711,1150.612,,
June,B,16,Main,4,1,0,0,653.681,,
June,B,17,Main,4,4,1,2779.323,0,,
June,B,17,Main,4,3,0,2986.642,273.203,,
June,B,17,Main,4,2,0,1986.938,605.93,,
June,B,17,Main,4,1,0,250.251,536.97,,
June,B,18,Baby,1,1,0,0,301.625,Don't know if the baby is old or new,
June,B,18,Main,2,2,1,595.75,0,,
June,B,18,Main,2,1,1,2191.734,36.504,This shoot is damaged - only 2 old leaves left,
June,B,19,Baby,2,2,0,253.469,55.819,,
June,B,19,Baby,2,1,0,0,55.568,,
June,B,19,Main,5,5,1,2898.311,0,,
June,B,19,Main,5,4,1,3273.898,21.219,,
June,B,19,Main,5,3,1,3280.306,227.442,,
June,B,19,Main,5,2,0,2087.067,690.26,,
June,B,19,Main,5,1,0,493.429,666.032,,
June,B,20,Baby,1,1,0,506.93,67.048,,
June,B,20,Main,5,5,1,2239.36,0,,
June,B,20,Main,5,4,1,3283.783,23.221,,
June,B,20,Main,5,3,1,3547.449,291.369,,
June,B,20,Main,5,2,0,2694.458,871.524,,
June,B,20,Main,5,1,0,1150.821,776.056,,
June,B,21,Main,2,2,1,1000.154,0,,
June,B,21,Main,2,1,0,236.586,57.546,,
June,B,22,Main,4,4,0,2840.647,0,Other damage,
June,B,22,Main,4,3,0,2803.982,225.427,,
June,B,22,Main,4,2,0,1784.911,571.319,,
June,B,22,Main,4,1,0,236.408,536.137,,
June,B,23,Main,5,5,0,814.033,0,broken tip,
June,B,23,Main,5,4,0,3527.207,20.039,,
June,B,23,Main,5,3,0,3026.067,336.604,,
June,B,23,Main,5,2,0,2633.733,905.164,,
June,B,23,Main,5,1,0,886.805,910.394,,
June,B,24,Main,4,4,1,1455.868,0,,
June,B,24,Main,4,3,1,1654.803,0,,
June,B,24,Main,4,2,0,1143.781,0,,
June,B,24,Main,4,1,0,45.642,38.308,limited growth - damaged?,
June,B,25,Baby,3,3,0,816.806,157.117,,
June,B,25,Baby,3,2,0,254.514,240.64,,
June,B,25,Baby,3,1,0,0,144.368,,
June,B,25,Main,7,7,1,2426.404,0,,
June,B,25,Main,7,6,1,3297.722,0,,
June,B,25,Main,7,5,1,3212.816,0,,
June,B,25,Main,7,4,0,2790.195,231.318,,
June,B,25,Main,7,3,0,1772.922,529.077,,
June,B,25,Main,7,2,0,589.089,460.38,,
June,B,25,Main,7,1,0,98.296,96.35,,
June,B,26,Baby,1,1,0,21.337,333.478,,
June,B,26,Main,4,4,1,2899.183,10.304,,
June,B,26,Main,4,3,1,4207.014,180.912,,
June,B,26,Main,4,2,0,2750.682,759.324,,
June,B,26,Main,4,1,1,1037.437,762.464,,
June,B,27,Main,4,4,1,1957.724,0,,
June,B,27,Main,4,3,0,2014.838,177.433,,
June,B,27,Main,4,2,0,1420.585,487.857,,
June,B,27,Main,4,1,0,345.675,431.828,,
June,B,28,Main,5,5,1,2301.165,0,,
June,B,28,Main,5,4,1,2772.099,41.967,,
June,B,28,Main,5,3,0,2515.714,363.297,,
June,B,28,Main,5,2,0,1742.084,646.989,,
June,B,28,Main,5,1,0,345.994,573.716,,
June,B,29,Main,4,4,1,2878.383,9.742,,
June,B,29,Main,4,3,1,2503.97,165.43,,
June,B,29,Main,4,2,1,1359.087,263.529,,
June,B,29,Main,4,1,0,0,239.936,,
June,B,30,Baby,1,1,0,0,140.622,,
June,B,30,Main,3,3,1,1585.243,0,,
June,B,30,Main,3,2,1,1188.735,253.036,,
June,B,30,Main,3,1,1,275.436,269.632,,
June,C,1,Main,4,4,1,2198.898,0,,
June,C,1,Main,4,3,1,1841.247,340.969,,
June,C,1,Main,4,2,0,923.109,502.451,,
June,C,1,Main,4,1,0,0,219.673,,
June,C,2,Main,4,4,0,411.153,0,broken off,
June,C,2,Main,4,3,1,1986.261,71.199,,
June,C,2,Main,4,2,1,1408.169,396.73,,
June,C,2,Main,4,1,0,413.489,389.112,,
June,C,3,Main,3,3,1,1009.458,0,,
June,C,3,Main,3,2,1,858.963,52.122,,
June,C,3,Main,3,1,0,481.801,90.082,,
June,C,4,Main,5,5,1,3435.582,0,,
June,C,4,Main,5,4,1,3721.436,0,,
June,C,4,Main,5,3,1,3413.854,365.218,,
June,C,4,Main,5,2,0,2296.962,889.155,,
June,C,4,Main,5,1,0,431.78,837.787,,
June,C,5,Main,5,5,1,4249.116,0,,
June,C,5,Main,5,4,0,4020.233,22.84,,
June,C,5,Main,5,3,0,3329.905,596.131,,
June,C,5,Main,5,2,0,2083.36,1037.777,,
June,C,5,Main,5,1,0,352.079,854.223,,
June,C,6,Main,5,5,1,685.006,0,broken tip,
June,C,6,Main,5,4,1,1214.496,0,,
June,C,6,Main,5,3,1,1450.409,68.412,,
June,C,6,Main,5,2,0,1104.954,337.407,,
June,C,6,Main,5,1,0,338.053,393.141,,
June,C,7,Main,3,3,1,1233.478,0,,
June,C,7,Main,3,2,1,1072.213,66.4,,
June,C,7,Main,3,1,0,335.374,124.32,,
June,C,8,Main,4,4,1,3117.883,62.681,,
June,C,8,Main,4,3,0,2926.97,563.976,,
June,C,8,Main,4,2,0,1761.751,766.121,,
June,C,8,Main,4,1,0,0,534.257,,
June,C,9,Main,5,5,1,3822.138,0,,
June,C,9,Main,5,4,1,3849.562,64.716,,
June,C,9,Main,5,3,0,2974.312,613.066,,
June,C,9,Main,5,2,0,1545.73,712.475,,
June,C,9,Main,5,1,0,0,488.926,,
June,C,10,Baby,1,1,0,0,271.562,,
June,C,10,Main,5,5,0,3348.34,0,,
June,C,10,Main,5,4,0,3305.075,197.872,,
June,C,10,Main,5,3,0,2702.259,744.141,,
June,C,10,Main,5,2,0,1444.395,772.454,,
June,C,10,Main,5,1,0,0,303.027,,
June,C,11,,,,,,0,No pinprick,
June,C,12,Main,5,5,1,1253.171,0,,
June,C,12,Main,5,4,1,1912.333,0,,
June,C,12,Main,5,3,0,1837.128,9.23,,
June,C,12,Main,5,2,0,933.453,350.862,,
June,C,12,Main,5,1,0,251.334,537.232,,
June,C,13,Main,4,4,1,4408.808,32.255,,
June,C,13,Main,4,3,0,3838.666,732.225,,
June,C,13,Main,4,2,0,2447.109,1074.756,,
June,C,13,Main,4,1,0,240.373,916.184,,
June,C,14,Main,5,5,1,1876.396,0,,
June,C,14,Main,5,4,1,2297.67,69.328,,
June,C,14,Main,5,3,0,1886.743,637.897,,
June,C,14,Main,5,2,0,843.177,705.153,,
June,C,14,Main,5,1,0,0,540.854,,
June,C,15,Main,4,4,1,1077.887,0,,
June,C,15,Main,4,3,0,1303.113,19.967,,
June,C,15,Main,4,2,0,1163.1,217.98,,
June,C,15,Main,4,1,0,506.173,291.258,,
June,C,16,Main,4,4,1,1815.882,0,,
June,C,16,Main,4,3,1,2785.396,112.392,,
June,C,16,Main,4,2,0,1706.128,565.651,,
June,C,16,Main,4,1,0,319.495,516.229,,
June,C,17,Baby,1,1,0,0,148.783,,
June,C,17,Main,5,5,1,2877.365,0,,
June,C,17,Main,5,4,0,2695.281,71.362,,
June,C,17,Main,5,3,0,2004.68,598.483,,
June,C,17,Main,5,2,0,736.981,510.697,,
June,C,17,Main,5,1,0,0,162.931,,
June,C,18,Main,4,4,1,1255.228,0,,
June,C,18,Main,4,3,1,1541.639,207.404,,
June,C,18,Main,4,2,0,1006.069,384.827,,
June,C,18,Main,4,1,0,50.524,420.91,,
June,C,19,Main,7,7,1,3156.957,0,,
June,C,19,Main,7,6,1,3811.641,80.151,,
June,C,19,Main,7,5,1,4623.058,80.137,,
June,C,19,Main,7,4,0,4741.956,402.666,,
June,C,19,Main,7,3,0,3528.09,1362.319,,
June,C,19,Main,7,2,0,1168.086,1257.193,,
June,C,19,Main,7,1,0,0,221.826,,
June,C,20,Main,5,5,1,1799.088,0,,
June,C,20,Main,5,4,1,2000.16,46.777,,
June,C,20,Main,5,3,0,2116.658,372.143,,
June,C,20,Main,5,2,0,738.714,467.947,,
June,C,20,Main,5,1,0,0,293.971,,
June,C,21,Main,4,4,0,1452.745,0,,
June,C,21,Main,4,3,0,1726.454,0,,
June,C,21,Main,4,2,0,1396.102,248.756,,
June,C,21,Main,4,1,0,336.48,200.551,,
June,C,22,Main,4,4,1,3067.574,0,,
June,C,22,Main,4,3,1,1383.834,923.964,,
June,C,22,Main,4,2,0,1518.014,1136.877,,
June,C,22,Main,4,1,0,0,614.12,,
June,C,23,Main,5,5,1,2609.443,0,,
June,C,23,Main,5,4,0,2724.124,0,,
June,C,23,Main,5,3,1,2618.924,290.516,,
June,C,23,Main,5,2,0,1730.2,720.411,,
June,C,23,Main,5,1,0,76.045,588.647,,
June,C,24,Main,4,4,0,1344.185,0,,
June,C,24,Main,4,3,0,1765.258,17.032,,
June,C,24,Main,4,2,0,1619.084,248.614,,
June,C,24,Main,4,1,0,719.465,388.206,,
June,C,25,Main,6,6,1,2045.595,0,,
June,C,25,Main,6,5,1,2380.712,18.052,,
June,C,25,Main,6,4,1,2922.127,35.162,,
June,C,25,Main,6,3,0,2779.615,414.974,,
June,C,25,Main,6,2,0,1779.491,829.298,,
June,C,25,Main,6,1,0,145.756,663.184,,
June,C,26,Baby,2,2,0,524.059,377.061,,
June,C,26,Baby,2,1,0,0,441.479,,
June,C,26,Main,6,6,1,2781.05,0,,
June,C,26,Main,6,5,1,3585.231,38.642,,
June,C,26,Main,6,4,1,4251.811,115.046,,
June,C,26,Main,6,3,0,3352.219,783.083,,
June,C,26,Main,6,2,0,1946.346,1084.809,,
June,C,26,Main,6,1,0,0,647.928,,
June,C,27,Main,2,2,0,820.502,0,,
June,C,27,Main,2,1,0,813.45,153.909,,
June,C,28,Main,5,5,1,2374.21,0,,
June,C,28,Main,5,4,1,3264.47,50.377,,
June,C,28,Main,5,3,0,2330.051,581.778,,
June,C,28,Main,5,2,0,470.576,691.001,,
June,C,28,Main,5,1,0,0,242.524,,
June,C,29,Main,6,6,1,1234.71,0,,
June,C,29,Main,6,5,1,1462.902,0,,
June,C,29,Main,6,4,1,1950.671,0,,
June,C,29,Main,6,3,1,1188.689,175.862,,
June,C,29,Main,6,2,0,1025.194,364.509,,
June,C,29,Main,6,1,0,0,219.369,,
June,C,30,Main,5,5,1,1471.188,0,,
June,C,30,Main,5,4,1,1887.273,19.635,,
June,C,30,Main,5,3,1,2129.192,397.648,,
June,C,30,Main,5,2,0,1509.06,752.806,,
June,C,30,Main,5,1,0,168.838,628.377,,
