type,month,site,file_name,blade_num,prevelance,severity,lesion_area,healthy_area,correct_num
Initial,July,A,In Situ_Initial _July_A17.tif,0,1,6.673908354,109.0179642,1524.477109,FALSE
Initial,July,A,In Situ_Initial _July_A16.tif,0,1,1.036000891,19.98030464,1908.61887,FALSE
Initial,July,A,In Situ_Initial _July_A7.tif,0,1,9.98640511,158.337712,1427.194922,FALSE
Initial,July,A,In Situ_Initial _July_A3.tif,0,0,0,0,1465.186984,FALSE
Initial,July,A,In Situ_Initial _July_A13.tif,0,1,0.840182755,15.55781504,1836.160154,FALSE
Initial,July,A,In Situ_Initial _July_A2.tif,0,0,0,0,2337.048449,FALSE
Initial,July,A,In Situ_Initial _July_A11.tif,0,1,5.008012666,69.94544832,1326.725307,FALSE
Initial,July,A,In Situ_Initial _July_A10.tif,0,1,0.354102211,6.13575488,1726.62803,FALSE
Initial,July,A,In Situ_Initial _July_A1.tif,0,1,29.41665055,549.4745574,1318.428644,FALSE
Initial,July,A,In Situ_Initial _July_A21.tif,0,1,34.25502505,213.850743,410.4393946,FALSE
Initial,July,A,In Situ_Initial _July_A20.tif,0,1,5.748205845,76.25918144,1250.401406,FALSE
Initial,July,A,In Situ_Initial _July_A22.tif,0,1,14.03524359,221.5235827,1356.814416,FALSE
Initial,July,A,In Situ_Initial _July_A23.tif,0,1,1.862029323,38.2024,2013.451649,FALSE
Initial,July,A,In Situ_Initial _July_A27.tif,0,1,1.416229834,20.01086656,1392.956583,FALSE
Initial,July,A,In Situ_Initial _July_A26.tif,0,1,1.323847015,22.50256192,1677.283114,FALSE
Initial,July,A,In Situ_Initial_July_A12.tif,0,0,0,0,1367.110188,FALSE
Initial,July,A,In Situ_Initial _July_A9.tif,0,1,47.72957268,434.1284781,475.4302163,FALSE
Initial,July,A,In Situ_Initial _July_A30.tif,0,0,0,0,1120.890776,FALSE
Initial,July,A,In Situ_Initial _July_A24.tif,0,1,74.59806709,1062.794364,361.8998746,FALSE
Initial,July,A,In Situ_Initial _July_A18.tif,0,0,0,0,705.2666413,FALSE
Initial,July,A,In Situ_Initial _July_A19.tif,0,1,2.604675841,35.30081536,1319.985505,FALSE
Initial,July,A,In Situ_Initial _July_A25.tif,0,1,0.972917793,16.20860416,1649.770195,FALSE
Initial,July,A,In Situ_Initial _July_A8.tif,0,1,2.306859923,36.71565248,1554.87004,FALSE
Final,July,A,In Situ Final July_A7.tif,0,1,28.86449925,2706.026105,6668.902181,FALSE
Final,July,A,In Situ Final July_A10.tif,0,1,0.006534576,0.988768,15130.33827,FALSE
Final,July,A,In Situ Final July_A11.tif,0,0,0,0,1605.023948,FALSE
Final,July,A,In Situ Final July_A6.tif,0,1,13.12126733,474.7974048,3143.735721,FALSE
Final,July,A,In Situ Final July_A4.tif,0,1,0.95075854,85.67584832,8925.639298,FALSE
Final,July,A,In Situ Final July_A13.tif,0,1,4.778884909,455.3887878,9073.796295,FALSE
Final,July,A,In Situ Final July_A12.tif,0,1,1.594910336,105.4727814,6507.612547,FALSE
Final,July,A,In Situ Final July_A5.tif,0,1,7.306560439,567.3550784,7197.653959,FALSE
Final,July,A,In Situ Final July_A1.tif,0,1,21.97968485,1786.110515,6340.077495,FALSE
Final,July,A,In Situ Final July_A16.tif,0,1,20.58467183,2072.098176,7994.120965,FALSE
Final,July,A,In Situ Final July_A17.tif,0,1,6.6096607,392.2370746,5542.062618,FALSE
Final,July,A,In Situ Final July_A2.tif,0,1,1.539995586,353.2274803,22583.68764,FALSE
Final,July,A,In Situ Final July_A15.tif,0,1,3.793089375,427.724857,10848.69957,FALSE
Final,July,A,In Situ Final July_A29.tif,0,1,16.03519027,955.5328109,5003.441137,FALSE
Final,July,A,In Situ Final July_A28.tif,0,1,17.75893908,1172.33188,5429.030255,FALSE
Final,July,A,In Situ Final July_A14.tif,0,1,0.303396213,22.4180672,7366.621826,FALSE
Final,July,A,In Situ Final July_A3.tif,0,1,0.71869089,53.2316736,7353.523347,FALSE
Final,July,A,In Situ_Final June_A8.tif,0,1,31.54753265,2926.679572,6350.367873,FALSE
Final,July,A,In Situ Final July_A19.tif,0,1,6.00036286,303.8232378,4759.591173,FALSE
Final,July,A,In Situ Final July_A24.tif,0,1,39.26865767,2030.426099,3140.176156,FALSE
Final,July,A,In Situ Final July_A30.tif,0,1,14.23285144,789.8692269,4759.751174,FALSE
Final,July,A,In Situ Final July_A18.tif,0,1,5.774171697,276.757961,4516.275144,FALSE
Final,July,A,In Situ Final July_A26.tif,0,1,1.128780929,101.9689472,8931.577299,FALSE
Final,July,A,In Situ Final July_A27.tif,0,1,6.686451291,427.4084512,5964.748353,FALSE
Final,July,A,In Situ Final July_A22.tif,0,1,27.15938614,2084.781373,5591.317646,FALSE
Final,July,A,In Situ Final July_A9.tif,0,1,0.028272807,2.6606848,9408.09516,FALSE
Final,July,A,In Situ_Final June_A23.tif,0,1,35.6080148,4214.79978,7621.8606,FALSE
Final,July,A,In Situ Final July_A20.tif,0,1,10.02450782,500.4011027,4491.376168,FALSE
Final,July,A,In Situ Final July_A21.tif,0,1,28.16333119,1025.704777,2616.281926,FALSE
